cluster,min_support,min_threshold,num_rules,avg_lift,avg_conf,score
Gamers,0.01,1.1,6818,1.7931,0.2208,-672.979
Gamers,0.01,1.2,6704,1.804,0.2217,-661.5445
Gamers,0.01,1.5,5798,1.868,0.2269,-570.7422
Gamers,0.02,1.0,1596,1.687,0.2651,-151.0088
Gamers,0.02,1.1,1588,1.6902,0.2656,-150.1982
Gamers,0.02,1.2,1576,1.6943,0.2662,-148.9847
Gamers,0.02,1.5,1298,1.7576,0.2721,-120.9832
Gamers,0.03,1.0,688,1.6317,0.2932,-60.3186
Gamers,0.03,1.1,688,1.6317,0.2932,-60.3186
Gamers,0.03,1.2,684,1.6344,0.2936,-59.9096
Gamers,0.03,1.5,512,1.7144,0.3033,-42.4501
Gamers,0.05,1.0,180,1.574,0.3414,-9.5953
Gamers,0.05,1.1,180,1.574,0.3414,-9.5953
Gamers,0.05,1.2,180,1.574,0.3414,-9.5953
Gamers,0.05,1.5,122,1.6549,0.3551,-3.5251
Gamers,0.08,1.0,28,1.5639,0.4131,5.518
Gamers,0.08,1.1,28,1.5639,0.4131,5.518
Gamers,0.08,1.2,28,1.5639,0.4131,5.518
Gamers,0.08,1.5,20,1.6104,0.4386,5.7084
Gamers,0.1,1.0,20,1.6104,0.4386,5.7084
Gamers,0.1,1.1,20,1.6104,0.4386,5.7084
Gamers,0.1,1.2,20,1.6104,0.4386,5.7084
Gamers,0.1,1.5,20,1.6104,0.4386,5.7084
Gamers,0.15,1.0,0,0.0,0.0,-20.0
Gamers,0.15,1.1,0,0.0,0.0,-20.0
Gamers,0.15,1.2,0,0.0,0.0,-20.0
Gamers,0.15,1.5,0,0.0,0.0,-20.0
Gamers,0.2,1.0,0,0.0,0.0,-20.0
Gamers,0.2,1.1,0,0.0,0.0,-20.0
Gamers,0.2,1.2,0,0.0,0.0,-20.0
Gamers,0.2,1.5,0,0.0,0.0,-20.0
Gamers,0.25,1.0,0,0.0,0.0,-20.0
Gamers,0.25,1.1,0,0.0,0.0,-20.0
Gamers,0.25,1.2,0,0.0,0.0,-20.0
Gamers,0.25,1.5,0,0.0,0.0,-20.0
Gamers,0.3,1.0,0,0.0,0.0,-20.0
Gamers,0.3,1.1,0,0.0,0.0,-20.0
Gamers,0.3,1.2,0,0.0,0.0,-20.0
Gamers,0.3,1.5,0,0.0,0.0,-20.0
Karens,0.01,1.0,6820,1.6709,0.2211,-673.5449
Karens,0.01,1.1,6758,1.6766,0.2218,-667.3265
Karens,0.01,1.2,6670,1.6836,0.2228,-658.5035
Karens,0.01,1.5,5430,1.7478,0.2272,-534.3022
Karens,0.02,1.0,1604,1.5692,0.2649,-152.1628
Karens,0.02,1.1,1596,1.5717,0.265,-151.3548
Karens,0.02,1.2,1580,1.5761,0.2658,-149.74
Karens,0.02,1.5,1084,1.6616,0.2768,-99.8614
Karens,0.03,1.0,604,1.5293,0.3002,-52.2118
Karens,0.03,1.1,602,1.531,0.3004,-52.0063
Karens,0.03,1.2,602,1.531,0.3004,-52.0063
Karens,0.03,1.5,340,1.6436,0.3161,-25.4371
Karens,0.05,1.0,186,1.4881,0.3457,-10.4444
Karens,0.05,1.1,186,1.4881,0.3457,-10.4444
Karens,0.05,1.2,186,1.4881,0.3457,-10.4444
Karens,0.05,1.5,76,1.6176,0.365,3.2829
Karens,0.08,1.0,44,1.4433,0.4076,4.4452
Karens,0.08,1.1,44,1.4433,0.4076,4.4452
Karens,0.08,1.2,44,1.4433,0.4076,4.4452
Karens,0.08,1.5,10,1.5219,0.4109,5.3876
Karens,0.1,1.0,14,1.4648,0.4571,5.3086
Karens,0.1,1.1,14,1.4648,0.4571,5.3086
Karens,0.1,1.2,14,1.4648,0.4571,5.3086
Karens,0.1,1.5,6,1.5228,0.4294,5.4271
Karens,0.15,1.0,6,1.4685,0.4932,5.3919
Karens,0.15,1.1,6,1.4685,0.4932,5.3919
Karens,0.15,1.2,6,1.4685,0.4932,5.3919
Karens,0.15,1.5,2,1.5077,0.5034,5.53
Karens,0.2,1.0,0,0.0,0.0,-20.0
Karens,0.2,1.1,0,0.0,0.0,-20.0
Karens,0.2,1.2,0,0.0,0.0,-20.0
Karens,0.2,1.5,0,0.0,0.0,-20.0
Karens,0.25,1.0,0,0.0,0.0,-20.0
Karens,0.25,1.1,0,0.0,0.0,-20.0
Karens,0.25,1.2,0,0.0,0.0,-20.0
Karens,0.25,1.5,0,0.0,0.0,-20.0
Karens,0.3,1.0,0,0.0,0.0,-20.0
Karens,0.3,1.1,0,0.0,0.0,-20.0
Karens,0.3,1.2,0,0.0,0.0,-20.0
Karens,0.3,1.5,0,0.0,0.0,-20.0
Loyal big spenders,0.01,1.0,228,1.7187,0.1578,-14.3283
Loyal big spenders,0.01,1.1,218,1.7495,0.1598,-13.232
Loyal big spenders,0.01,1.2,196,1.8163,0.1647,-10.8218
Loyal big spenders,0.01,1.5,140,1.9919,0.1784,-4.6674
Loyal big spenders,0.02,1.0,12,2.2327,0.2499,7.1979
Loyal big spenders,0.02,1.1,12,2.2327,0.2499,7.1979
Loyal big spenders,0.02,1.2,12,2.2327,0.2499,7.1979
Loyal big spenders,0.02,1.5,12,2.2327,0.2499,7.1979
Loyal big spenders,0.03,1.0,0,0.0,0.0,-20.0
Loyal big spenders,0.03,1.1,0,0.0,0.0,-20.0
Loyal big spenders,0.03,1.2,0,0.0,0.0,-20.0
Loyal big spenders,0.03,1.5,0,0.0,0.0,-20.0
Loyal big spenders,0.05,1.0,0,0.0,0.0,-20.0
Loyal big spenders,0.05,1.1,0,0.0,0.0,-20.0
Loyal big spenders,0.05,1.2,0,0.0,0.0,-20.0
Loyal big spenders,0.05,1.5,0,0.0,0.0,-20.0
Loyal big spenders,0.08,1.0,0,0.0,0.0,-20.0
Loyal big spenders,0.08,1.1,0,0.0,0.0,-20.0
Loyal big spenders,0.08,1.2,0,0.0,0.0,-20.0
Loyal big spenders,0.08,1.5,0,0.0,0.0,-20.0
Loyal big spenders,0.1,1.0,0,0.0,0.0,-20.0
Loyal big spenders,0.1,1.1,0,0.0,0.0,-20.0
Loyal big spenders,0.1,1.2,0,0.0,0.0,-20.0
Loyal big spenders,0.1,1.5,0,0.0,0.0,-20.0
Loyal big spenders,0.15,1.0,0,0.0,0.0,-20.0
Loyal big spenders,0.15,1.1,0,0.0,0.0,-20.0
Loyal big spenders,0.15,1.2,0,0.0,0.0,-20.0
Loyal big spenders,0.15,1.5,0,0.0,0.0,-20.0
Loyal big spenders,0.2,1.0,0,0.0,0.0,-20.0
Loyal big spenders,0.2,1.1,0,0.0,0.0,-20.0
Loyal big spenders,0.2,1.2,0,0.0,0.0,-20.0
Loyal big spenders,0.2,1.5,0,0.0,0.0,-20.0
Loyal big spenders,0.25,1.0,0,0.0,0.0,-20.0
Loyal big spenders,0.25,1.1,0,0.0,0.0,-20.0
Loyal big spenders,0.25,1.2,0,0.0,0.0,-20.0
Loyal big spenders,0.25,1.5,0,0.0,0.0,-20.0
Loyal big spenders,0.3,1.0,0,0.0,0.0,-20.0
Loyal big spenders,0.3,1.1,0,0.0,0.0,-20.0
Loyal big spenders,0.3,1.2,0,0.0,0.0,-20.0
Loyal big spenders,0.3,1.5,0,0.0,0.0,-20.0
Tech enthusiasts,0.01,1.0,11064,1.371,0.203,-1098.8811
Tech enthusiasts,0.01,1.1,10494,1.3881,0.2037,-1041.8283
Tech enthusiasts,0.01,1.2,9452,1.4136,0.2054,-937.5483
Tech enthusiasts,0.01,1.5,1840,1.6539,0.1863,-175.6657
Tech enthusiasts,0.02,1.0,2766,1.3474,0.2466,-269.0648
Tech enthusiasts,0.02,1.1,2694,1.355,0.2477,-261.8398
Tech enthusiasts,0.02,1.2,2474,1.3727,0.2501,-239.7816
Tech enthusiasts,0.02,1.5,190,1.6492,0.226,-10.6006
Tech enthusiasts,0.03,1.0,998,1.3172,0.2832,-92.2821
Tech enthusiasts,0.03,1.1,968,1.3248,0.2848,-89.2559
Tech enthusiasts,0.03,1.2,878,1.3429,0.2875,-80.1965
Tech enthusiasts,0.03,1.5,28,1.8185,0.26,5.9757
Tech enthusiasts,0.05,1.0,248,1.2559,0.3309,-17.3703
Tech enthusiasts,0.05,1.1,238,1.2639,0.3328,-16.3427
Tech enthusiasts,0.05,1.2,190,1.2921,0.3439,-11.4358
Tech enthusiasts,0.05,1.5,0,0.0,0.0,-20.0
Tech enthusiasts,0.08,1.0,90,1.2308,0.3705,-1.5665
Tech enthusiasts,0.08,1.1,84,1.2413,0.3741,-0.928
Tech enthusiasts,0.08,1.2,70,1.2641,0.3826,2.5573
Tech enthusiasts,0.08,1.5,0,0.0,0.0,-20.0
Tech enthusiasts,0.1,1.0,22,1.2797,0.4429,4.725
Tech enthusiasts,0.1,1.1,22,1.2797,0.4429,4.725
Tech enthusiasts,0.1,1.2,22,1.2797,0.4429,4.725
Tech enthusiasts,0.1,1.5,0,0.0,0.0,-20.0
Tech enthusiasts,0.15,1.0,20,1.2745,0.4493,4.7221
Tech enthusiasts,0.15,1.1,20,1.2745,0.4493,4.7221
Tech enthusiasts,0.15,1.2,20,1.2745,0.4493,4.7221
Tech enthusiasts,0.15,1.5,0,0.0,0.0,-20.0
Tech enthusiasts,0.2,1.0,0,0.0,0.0,-20.0
Tech enthusiasts,0.2,1.1,0,0.0,0.0,-20.0
Tech enthusiasts,0.2,1.2,0,0.0,0.0,-20.0
Tech enthusiasts,0.2,1.5,0,0.0,0.0,-20.0
Tech enthusiasts,0.25,1.0,0,0.0,0.0,-20.0
Tech enthusiasts,0.25,1.1,0,0.0,0.0,-20.0
Tech enthusiasts,0.25,1.2,0,0.0,0.0,-20.0
Tech enthusiasts,0.25,1.5,0,0.0,0.0,-20.0
Tech enthusiasts,0.3,1.0,0,0.0,0.0,-20.0
Tech enthusiasts,0.3,1.1,0,0.0,0.0,-20.0
Tech enthusiasts,0.3,1.2,0,0.0,0.0,-20.0
Tech enthusiasts,0.3,1.5,0,0.0,0.0,-20.0
Vegans,0.01,1.0,742,1.4727,0.1727,-66.4364
Vegans,0.01,1.1,648,1.5344,0.1792,-56.8386
Vegans,0.01,1.2,566,1.5896,0.1858,-48.4596
Vegans,0.01,1.5,312,1.8012,0.2042,-22.388
Vegans,0.02,1.0,160,1.5133,0.2194,-8.0212
Vegans,0.02,1.1,160,1.5133,0.2194,-8.0212
Vegans,0.02,1.2,160,1.5133,0.2194,-8.0212
Vegans,0.02,1.5,60,1.7296,0.2571,4.203
Vegans,0.03,1.0,68,1.5259,0.2484,3.1746
Vegans,0.03,1.1,68,1.5259,0.2484,3.1746
Vegans,0.03,1.2,68,1.5259,0.2484,3.1746
Vegans,0.03,1.5,36,1.6005,0.2674,5.0361
Vegans,0.05,1.0,12,1.6881,0.3213,5.707
Vegans,0.05,1.1,12,1.6881,0.3213,5.707
Vegans,0.05,1.2,12,1.6881,0.3213,5.707
Vegans,0.05,1.5,12,1.6881,0.3213,5.707
Vegans,0.08,1.0,0,0.0,0.0,-20.0
Vegans,0.08,1.1,0,0.0,0.0,-20.0
Vegans,0.08,1.2,0,0.0,0.0,-20.0
Vegans,0.08,1.5,0,0.0,0.0,-20.0
Vegans,0.1,1.0,0,0.0,0.0,-20.0
Vegans,0.1,1.1,0,0.0,0.0,-20.0
Vegans,0.1,1.2,0,0.0,0.0,-20.0
Vegans,0.1,1.5,0,0.0,0.0,-20.0
Vegans,0.15,1.0,0,0.0,0.0,-20.0
Vegans,0.15,1.1,0,0.0,0.0,-20.0
Vegans,0.15,1.2,0,0.0,0.0,-20.0
Vegans,0.15,1.5,0,0.0,0.0,-20.0
Vegans,0.2,1.0,0,0.0,0.0,-20.0
Vegans,0.2,1.1,0,0.0,0.0,-20.0
Vegans,0.2,1.2,0,0.0,0.0,-20.0
Vegans,0.2,1.5,0,0.0,0.0,-20.0
Vegans,0.25,1.0,0,0.0,0.0,-20.0
Vegans,0.25,1.1,0,0.0,0.0,-20.0
Vegans,0.25,1.2,0,0.0,0.0,-20.0
Vegans,0.25,1.5,0,0.0,0.0,-20.0
Vegans,0.3,1.0,0,0.0,0.0,-20.0
Vegans,0.3,1.1,0,0.0,0.0,-20.0
Vegans,0.3,1.2,0,0.0,0.0,-20.0
Vegans,0.3,1.5,0,0.0,0.0,-20.0
